iteration,best_ndcg,best_book_ndcg,best_revenue
1,0.4313373666691456,0.4559906358856738,0.4192763822481342
2,0.4344039354230023,0.4596120196962661,0.42625652107781076
3,0.4344039354230023,0.4596120196962661,0.42625652107781076
4,0.4344039354230023,0.4596120196962661,0.42625652107781076
5,0.4344039354230023,0.4596120196962661,0.42625652107781076
6,0.4344039354230023,0.4596120196962661,0.42625652107781076
7,0.4344039354230023,0.4596120196962661,0.42625652107781076
8,0.4356379553999852,0.4595446298650472,0.42585026837722084
9,0.4356379553999852,0.4595446298650472,0.42585026837722084
10,0.4356379553999852,0.4595446298650472,0.42585026837722084
11,0.4356379553999852,0.4595446298650472,0.42585026837722084
12,0.4356379553999852,0.4595446298650472,0.42585026837722084
13,0.4356379553999852,0.4595446298650472,0.42585026837722084
14,0.4356379553999852,0.4595446298650472,0.42585026837722084
15,0.4356379553999852,0.4595446298650472,0.42585026837722084
16,0.4356379553999852,0.4595446298650472,0.42585026837722084
17,0.4356379553999852,0.4595446298650472,0.42585026837722084
18,0.4356379553999852,0.4595446298650472,0.42585026837722084
19,0.4356379553999852,0.4595446298650472,0.42585026837722084
20,0.4356379553999852,0.4595446298650472,0.42585026837722084
21,0.4356379553999852,0.4595446298650472,0.42585026837722084
22,0.4356379553999852,0.4595446298650472,0.42585026837722084
23,0.4356379553999852,0.4595446298650472,0.42585026837722084
24,0.4356379553999852,0.4595446298650472,0.42585026837722084
25,0.4356379553999852,0.4595446298650472,0.42585026837722084
26,0.4356379553999852,0.4595446298650472,0.42585026837722084
27,0.4356379553999852,0.4595446298650472,0.42585026837722084
28,0.4356379553999852,0.4595446298650472,0.42585026837722084
29,0.4356379553999852,0.4595446298650472,0.42585026837722084
30,0.4356379553999852,0.4595446298650472,0.42585026837722084
31,0.4356379553999852,0.4595446298650472,0.42585026837722084
32,0.4356379553999852,0.4595446298650472,0.42585026837722084
33,0.4356379553999852,0.4595446298650472,0.42585026837722084
34,0.4356379553999852,0.4595446298650472,0.42585026837722084
35,0.4356379553999852,0.4595446298650472,0.42585026837722084
36,0.4356379553999852,0.4595446298650472,0.42585026837722084
37,0.4356379553999852,0.4595446298650472,0.42585026837722084
38,0.4356379553999852,0.4595446298650472,0.42585026837722084
39,0.4356379553999852,0.4595446298650472,0.42585026837722084
40,0.4356379553999852,0.4595446298650472,0.42585026837722084
41,0.4356379553999852,0.4595446298650472,0.42585026837722084
42,0.4356379553999852,0.4595446298650472,0.42585026837722084
43,0.4356379553999852,0.4595446298650472,0.42585026837722084
44,0.4356379553999852,0.4595446298650472,0.42585026837722084
45,0.4356379553999852,0.4595446298650472,0.42585026837722084
46,0.4356379553999852,0.4595446298650472,0.42585026837722084
47,0.4356379553999852,0.4595446298650472,0.42585026837722084
48,0.4356379553999852,0.4595446298650472,0.42585026837722084
49,0.4356379553999852,0.4595446298650472,0.42585026837722084
50,0.4356379553999852,0.4595446298650472,0.42585026837722084
