id,iteration,on_pareto_front,ndcg,book_ndcg,revenue
02d2b15c-410a-4a7c-bbf9-0dcfcb275e38,14,False,0.4224209309537535,0.44605038441380596,0.41079727432197083
04407923-a50a-4274-a0e0-0dbd96509f40,7,False,0.4238703649597431,0.4461104641809896,0.4101874760836849
08e1890e-3935-4f14-ae58-d430a5594a65,1,True,0.42330254066363265,0.4482455952076563,0.4167955599765582
0ab83875-3ae4-4216-8966-7e8292812b63,15,False,0.42416460588932703,0.4455521099162983,0.4129119465502301
0e2921eb-f6d4-4b7c-9fdd-f478e74b308d,21,False,0.42416460588932703,0.4455521099162983,0.4129119465502301
0f0b869d-df4b-4103-97a2-3f53a31c9226,13,False,0.42416460588932703,0.4455521099162983,0.4129119465502301
1346ab2b-8943-4624-9093-8f49c045d238,12,False,0.0,0.0,0.0
13552cf2-9b2b-44ed-9549-102bf7f779a5,2,False,0.42095346822715485,0.4436484877837233,0.40873761087212396
13ff1b76-242f-402c-8aaf-123495575f0a,16,False,0.0,0.0,0.0
147c7b1b-e410-4528-a6fb-48297ae71e41,3,False,0.42312901947218845,0.4461235400058247,0.41030776860923673
1f6d0a90-77b6-43af-9829-305115fb654b,33,False,0.42410820704352464,0.4469328706880834,0.41386724414230885
20d4f5d7-c363-45c3-9ee1-f0a2fd8bda28,17,False,0.4220337284595926,0.44526757082100227,0.41414056715897324
20f7f889-c28d-41e3-a456-a3bac4963e6d,37,False,0.0,0.0,0.0
263e1fb8-1be2-4cf0-8d3d-8221ad2819f4,31,False,0.4217499149889164,0.4446754922701016,0.41097257042113466
2853f406-f2b2-4a72-94a6-28890c2dda65,38,True,0.4253688994171839,0.44758763256928213,0.4122048599475384
2e63c729-8a2a-4c77-81f0-9f144df16408,7,False,0.4238703649597431,0.4461104641809896,0.4101874760836849
3286b06f-2f6f-4fa5-8e53-a3c2c3aee994,15,False,0.42416460588932703,0.4455521099162983,0.4129119465502301
3a328531-b0db-4ee4-b1d7-cdfb5f155c10,19,False,0.41990590693341606,0.4431065226358906,0.40610568289511967
49d31319-cd12-4fcc-8faa-f130b2cbe945,26,True,0.42330254066363265,0.4482455952076563,0.4167955599765582
583b03ae-a1ab-4fc0-bcbd-2c75a62d85ce,21,False,0.42416460588932703,0.4455521099162983,0.4129119465502301
61f1477a-fb56-407f-975e-e51cc6604b08,11,False,0.4210325575601159,0.4425334432490456,0.410574311236009
6857db87-a7ac-42e3-b55d-2069af5811b8,8,False,0.42368458738185094,0.44647147481914257,0.4116632591206576
6d12e2e2-7fb8-43fb-9e27-0002f1207838,5,False,0.0,0.0,0.0
706eccd1-ff46-4b3a-9d05-ca883c1876cc,40,False,0.0,0.0,0.0
8f81250a-cef1-409e-aa72-df88400a69ba,10,False,0.4218692011870402,0.4445146916192501,0.4064634952249464
9396d8f5-0bfc-4064-a872-d110ea91b760,32,True,0.4253688994171839,0.44758763256928213,0.4122048599475384
a7c3c49b-9053-4195-b7cd-83f1e2d1722e,1,True,0.42330254066363265,0.4482455952076563,0.4167955599765582
a9f9e7ba-4f44-4fba-9d8f-6860c4575686,22,False,0.41865285722181944,0.4427464535962308,0.40796559096379353
b2a87b98-4144-4e38-832f-abc6e5b994bf,34,True,0.42365489920073407,0.44646589892058763,0.41771419004119625
b391891e-e70e-430c-8cda-e502af68c1e3,36,True,0.4253414707056208,0.4479161614716331,0.4158486398347696
beca197a-9304-43c2-8341-f6652dcd283c,0,False,0.42115889999591005,0.4449659586927466,0.41119610215389113
cfb76334-9da0-4af2-9ec3-097a7d79a155,18,True,0.42330254066363265,0.4482455952076563,0.4167955599765582
d4ae8101-ac2c-482b-9918-240dd540b98c,6,False,0.42086671578114987,0.4430986915725843,0.4083336040896668
da71166f-ed6e-405f-b565-136e38041d91,20,False,0.4228253364622477,0.445447703865801,0.4099175187680182
e3443b23-0b53-402d-bd01-74597f7c4dd4,23,False,0.0,0.0,0.0
f12d340b-c997-40a6-8eb7-81ef3f9e2de5,0,False,0.42115889999591005,0.4449659586927466,0.41119610215389113
f259fd0a-e6ad-4f56-9b45-2fbfeb44ed38,8,False,0.42368458738185094,0.44647147481914257,0.4116632591206576
f7d3dade-76f7-4c94-8a9e-09ca5e38eca3,13,False,0.42416460588932703,0.4455521099162983,0.4129119465502301
f914bf34-9a3d-48eb-9dc6-2d614af44364,35,False,0.4236026453032862,0.4463062548939787,0.4103744699742838
fbb2a7d5-4dfb-4974-9d9d-ceed378f72c2,25,False,0.421858242732361,0.44350324665046603,0.4096774960263904
