iteration,best_ndcg,best_book_ndcg,best_revenue
1,0.4308544096626194,0.4530034890193605,0.4043200270694089
2,0.4308544096626194,0.4530034890193605,0.4043200270694089
3,0.4308544096626194,0.4530034890193605,0.4043200270694089
4,0.4308544096626194,0.4530034890193605,0.4043200270694089
5,0.4308544096626194,0.4530034890193605,0.4043200270694089
6,0.4308544096626194,0.4530034890193605,0.4043200270694089
7,0.4308544096626194,0.4530034890193605,0.4043200270694089
8,0.4308544096626194,0.4530034890193605,0.4043200270694089
9,0.4308544096626194,0.4530034890193605,0.4043200270694089
10,0.4308544096626194,0.4530034890193605,0.4043200270694089
11,0.4308544096626194,0.4530034890193605,0.4043200270694089
12,0.4308544096626194,0.4530034890193605,0.4043200270694089
13,0.4308544096626194,0.4530034890193605,0.4043200270694089
14,0.4308544096626194,0.4530034890193605,0.4043200270694089
15,0.4308544096626194,0.4530034890193605,0.4043200270694089
16,0.4308544096626194,0.4530034890193605,0.4043200270694089
17,0.4308544096626194,0.4530034890193605,0.4043200270694089
18,0.4308544096626194,0.4530034890193605,0.4043200270694089
19,0.4308544096626194,0.4530034890193605,0.4043200270694089
20,0.4308544096626194,0.4530034890193605,0.4043200270694089
21,0.4308544096626194,0.4530034890193605,0.4043200270694089
22,0.4308544096626194,0.4530034890193605,0.4043200270694089
23,0.4308544096626194,0.4530034890193605,0.4043200270694089
24,0.4308544096626194,0.4530034890193605,0.4043200270694089
25,0.4308544096626194,0.4530034890193605,0.4043200270694089
26,0.4308544096626194,0.4530034890193605,0.4043200270694089
27,0.4308544096626194,0.4530034890193605,0.4043200270694089
28,0.4308544096626194,0.4530034890193605,0.4043200270694089
29,0.4308544096626194,0.4530034890193605,0.4043200270694089
30,0.4308544096626194,0.4530034890193605,0.4043200270694089
31,0.4308544096626194,0.4530034890193605,0.4043200270694089
32,0.4308544096626194,0.4530034890193605,0.4043200270694089
33,0.4308544096626194,0.4530034890193605,0.4043200270694089
34,0.4308544096626194,0.4530034890193605,0.4043200270694089
35,0.4308544096626194,0.4530034890193605,0.4043200270694089
36,0.4308544096626194,0.4530034890193605,0.4043200270694089
37,0.4308544096626194,0.4530034890193605,0.4043200270694089
38,0.4308544096626194,0.4530034890193605,0.4043200270694089
39,0.4308544096626194,0.4530034890193605,0.4043200270694089
40,0.43251170571301145,0.45587331490326394,0.40953432297408815
