iteration,best_ndcg,best_book_ndcg,best_revenue
1,0.42552157879461416,0.4477430946187746,0.40598945598123753
2,0.4267534608572825,0.44573544702221674,0.4058093404285973
3,0.4267534608572825,0.44573544702221674,0.4058093404285973
4,0.4293434546513191,0.4545919646767029,0.4149385563460626
5,0.4293434546513191,0.4545919646767029,0.4149385563460626
6,0.4293434546513191,0.4545919646767029,0.4149385563460626
7,0.4293434546513191,0.4545919646767029,0.4149385563460626
8,0.4300010641071161,0.4498386768535556,0.4064628573523414
9,0.4300010641071161,0.4498386768535556,0.4064628573523414
10,0.4300010641071161,0.4498386768535556,0.4064628573523414
11,0.4300010641071161,0.4498386768535556,0.4064628573523414
12,0.4300010641071161,0.4498386768535556,0.4064628573523414
13,0.4317289692835514,0.45228606523106757,0.41088906377081363
14,0.4317289692835514,0.45228606523106757,0.41088906377081363
15,0.4317289692835514,0.45228606523106757,0.41088906377081363
16,0.4317289692835514,0.45228606523106757,0.41088906377081363
17,0.4317289692835514,0.45228606523106757,0.41088906377081363
18,0.4317289692835514,0.45228606523106757,0.41088906377081363
19,0.4317289692835514,0.45228606523106757,0.41088906377081363
20,0.4317289692835514,0.45228606523106757,0.41088906377081363
21,0.4317289692835514,0.45228606523106757,0.41088906377081363
22,0.4317289692835514,0.45228606523106757,0.41088906377081363
23,0.4317289692835514,0.45228606523106757,0.41088906377081363
24,0.4317289692835514,0.45228606523106757,0.41088906377081363
25,0.4317289692835514,0.45228606523106757,0.41088906377081363
26,0.4317289692835514,0.45228606523106757,0.41088906377081363
27,0.4317289692835514,0.45228606523106757,0.41088906377081363
28,0.4317289692835514,0.45228606523106757,0.41088906377081363
29,0.4317289692835514,0.45228606523106757,0.41088906377081363
26,0.4317289692835514,0.45228606523106757,0.41088906377081363
27,0.4317289692835514,0.45228606523106757,0.41088906377081363
28,0.4317289692835514,0.45228606523106757,0.41088906377081363
29,0.4317289692835514,0.45228606523106757,0.41088906377081363
30,0.4317289692835514,0.45228606523106757,0.41088906377081363
31,0.4317289692835514,0.45228606523106757,0.41088906377081363
32,0.4317289692835514,0.45228606523106757,0.41088906377081363
33,0.4317289692835514,0.45228606523106757,0.41088906377081363
34,0.4317289692835514,0.45228606523106757,0.41088906377081363
35,0.4317289692835514,0.45228606523106757,0.41088906377081363
36,0.4317289692835514,0.45228606523106757,0.41088906377081363
37,0.4317289692835514,0.45228606523106757,0.41088906377081363
38,0.4317289692835514,0.45228606523106757,0.41088906377081363
39,0.4317289692835514,0.45228606523106757,0.41088906377081363
40,0.4317289692835514,0.45228606523106757,0.41088906377081363
