variant,ndcg,book_ndcg,revenue,feedback
full,0.43251170571301145,0.45587331490326394,0.40953432297408815,ndcg=0.4325 book_ndcg=0.4559 revenue=0.4095
no_revenue,0.42732617372033543,0.4507153479372154,0.40068297309209616,ndcg=0.4273 book_ndcg=0.4507 revenue=0.4007
no_listwise,0.42442388678660536,0.44638653999067135,0.4012149089198337,ndcg=0.4244 book_ndcg=0.4464 revenue=0.4012
no_adaptive,0.43530343942272837,0.4588948125857802,0.41955168165050855,ndcg=0.4353 book_ndcg=0.4589 revenue=0.4196
raw_revenue,0.43298513267002275,0.45545808167611823,0.40849820744249576,ndcg=0.4330 book_ndcg=0.4555 revenue=0.4085
seed,0.42552157879461416,0.4477430946187746,0.40598945598123753,ndcg=0.4255 book_ndcg=0.4477 revenue=0.4060
