id,iteration,on_pareto_front,ndcg,book_ndcg,revenue
025ac257-b241-476e-b488-e2de7849acdf,0,False,0.42552157879461416,0.4477430946187746,0.40598945598123753
0914e0ec-3745-4902-b09d-ca740f198ade,34,False,0.4269654185589953,0.44703751985724616,0.3975880575354854
0dd50b95-3504-4bc2-ba10-b11d2aa8d9d9,22,False,0.4214188776358511,0.439635604669894,0.39194563917534314
1204dbfd-6637-4253-993f-fbd585f53229,26,False,0.4279315810700535,0.4538757203784682,0.40915864385546347
1978f13a-a59f-49ae-929b-239a847f10a1,23,True,0.42981570672568137,0.44960846537706217,0.41232118285518876
1b322863-9211-4710-8e68-74528e21877e,0,False,0.42552157879461416,0.4477430946187746,0.40598945598123753
20e5a9de-bc27-40e7-b3d5-8982ff79cd78,31,True,0.4317289692835514,0.45228606523106757,0.41088906377081363
239bad3f-c606-4ca0-b3cb-e88bc94bb83c,30,False,0.0,0.0,0.0
3c1b7609-aaf7-4090-ab98-e52bc6f4c41a,3,False,0.4214594220787181,0.44110885513396786,0.39744084385994644
3d319207-d299-4894-a306-e602de0c8d88,7,False,0.42535870309684687,0.44649218241833455,0.4028893157528378
3f07057d-bbf6-4232-bfdd-ee841fd2d50a,23,True,0.42981570672568137,0.44960846537706217,0.41232118285518876
3fb1b7f4-1cc7-4bd1-81c8-b14c990d0416,25,False,0.42566108877208136,0.445512698812213,0.39924026106880883
4dca175c-edb8-481d-a46d-78adb714f94a,11,False,0.42741029816833204,0.44996522469594163,0.40645359261085817
551e8a1d-6448-41ad-b5f6-d700ca19197d,12,False,0.4273264808657479,0.4501586251326617,0.4093257159762286
5b06d1ef-75d7-43f6-9f6b-29208c5696b1,15,False,0.4267935612658073,0.4461369889656919,0.40575092443431754
68c14748-e4d9-4631-83b4-59ff87a114c1,16,False,0.41959085476485297,0.44022090392712737,0.3905099583385399
6ad93cee-7df4-4a40-b0e5-3ed5eeea5f5b,6,False,0.42106342744462777,0.4428823085086178,0.4022101588007244
6e4c6d33-ab31-4ea5-9b2f-61e4dbe01a97,8,False,0.4300010641071161,0.4498386768535556,0.4064628573523414
71f8d2af-b23f-4511-ab91-6569ce8b46a4,1,False,0.42447192490054986,0.4468029964188188,0.40529641425270707
741e0480-20fe-46af-a3ca-489100503c46,20,False,0.4176076302064024,0.44195725841354316,0.39836232671025
798b92a6-c04e-45e1-b45c-46d7763dfda5,18,False,0.424488588154902,0.44475367853722736,0.4006161021278801
a0ad1d52-014f-4427-bb72-6d90f5c81e38,40,False,0.42898947492474426,0.4498594857669178,0.3980349170891906
a8b05de6-0a0f-4341-a411-4397e5584826,10,False,0.4242483753824148,0.44458539748363296,0.40012634757167503
b471c73c-514f-428c-85a3-2e08b14612a3,14,False,0.42686629715515345,0.44761239052857227,0.39754043654450294
bd196f36-3505-4e6f-a641-615c4aaeebf5,15,False,0.4267935612658073,0.4461369889656919,0.40575092443431754
bd6388ab-a1d1-4c7c-a5d9-f3f68468c252,4,True,0.4293434546513191,0.4545919646767029,0.4149385563460626
bfdec580-062e-443b-a19d-81ee63dbe0f8,11,False,0.42741029816833204,0.44996522469594163,0.40645359261085817
c0fe27fb-57f7-47c4-aaf8-87e921b3df97,29,False,0.4250480034680646,0.44585644012317144,0.39865102237352124
c343201a-d762-4251-a120-47becc2d2531,39,True,0.4317289692835514,0.45228606523106757,0.41088906377081363
c368f381-8d4a-4ef9-bcec-47ab198fbd94,8,False,0.4300010641071161,0.4498386768535556,0.4064628573523414
c6c1e453-02e8-44d2-88f0-73b84cc322e4,9,False,0.4300010641071161,0.4498386768535556,0.4064628573523414
cf472285-fb61-4ba6-b202-3d27f63fdf79,9,False,0.4300010641071161,0.4498386768535556,0.4064628573523414
d393e09b-87cd-471b-836c-1b5662a1fbca,4,True,0.4293434546513191,0.4545919646767029,0.4149385563460626
e5da96ea-98a6-4f9f-84b8-2b8ced558f53,37,False,0.4279458172290719,0.4463073012497707,0.3970008777930846
efa99e60-63e8-47a6-a00e-5fe11eaa7688,13,True,0.4317289692835514,0.45228606523106757,0.41088906377081363
f0eb9fba-4599-40cc-bf67-079c0228a693,32,False,0.4214839596559623,0.4420647281867742,0.3956637724639824
f296ce5d-6edd-44ab-8042-5e3656e20ec1,28,False,0.42535323921820223,0.44411220796473866,0.3989497124699375
f490c83a-99fe-4146-9c5f-d0b1522a99e9,13,True,0.4317289692835514,0.45228606523106757,0.41088906377081363
f6d21d22-829b-4b1b-909e-739bcec0d7cf,2,False,0.4267534608572825,0.44573544702221674,0.4058093404285973
f79cb800-7a06-4496-9bd2-b7f31268b155,5,False,0.4206309786463642,0.4421923367107967,0.39907574894206216
