iteration,best_ndcg,best_book_ndcg,best_revenue
1,0.4236564544071296,0.4487873452001624,0.41609184212252354
2,0.4236564544071296,0.4487873452001624,0.41609184212252354
3,0.4236564544071296,0.4487873452001624,0.41609184212252354
4,0.4236564544071296,0.4487873452001624,0.41609184212252354
5,0.4236564544071296,0.4487873452001624,0.41609184212252354
6,0.4236564544071296,0.4487873452001624,0.41609184212252354
7,0.4236564544071296,0.4487873452001624,0.41609184212252354
8,0.4236564544071296,0.4487873452001624,0.41609184212252354
9,0.4236564544071296,0.4487873452001624,0.41609184212252354
10,0.4236564544071296,0.4487873452001624,0.41609184212252354
11,0.4236564544071296,0.4487873452001624,0.41609184212252354
12,0.4236564544071296,0.4487873452001624,0.41609184212252354
13,0.4236564544071296,0.4487873452001624,0.41609184212252354
14,0.4236564544071296,0.4487873452001624,0.41609184212252354
15,0.4236564544071296,0.4487873452001624,0.41609184212252354
16,0.4236564544071296,0.4487873452001624,0.41609184212252354
17,0.42643546578603825,0.4524621153529671,0.41798107425299763
18,0.42643546578603825,0.4524621153529671,0.41798107425299763
19,0.42643546578603825,0.4524621153529671,0.41798107425299763
20,0.42643546578603825,0.4524621153529671,0.41798107425299763
21,0.42643546578603825,0.4524621153529671,0.41798107425299763
22,0.42643546578603825,0.4524621153529671,0.41798107425299763
23,0.42643546578603825,0.4524621153529671,0.41798107425299763
24,0.42643546578603825,0.4524621153529671,0.41798107425299763
25,0.42643546578603825,0.4524621153529671,0.41798107425299763
26,0.42643546578603825,0.4524621153529671,0.41798107425299763
27,0.42643546578603825,0.4524621153529671,0.41798107425299763
28,0.42643546578603825,0.4524621153529671,0.41798107425299763
29,0.42643546578603825,0.4524621153529671,0.41798107425299763
30,0.42643546578603825,0.4524621153529671,0.41798107425299763
31,0.42643546578603825,0.4524621153529671,0.41798107425299763
32,0.42643546578603825,0.4524621153529671,0.41798107425299763
33,0.42643546578603825,0.4524621153529671,0.41798107425299763
34,0.42643546578603825,0.4524621153529671,0.41798107425299763
35,0.42643546578603825,0.4524621153529671,0.41798107425299763
36,0.42643546578603825,0.4524621153529671,0.41798107425299763
37,0.42643546578603825,0.4524621153529671,0.41798107425299763
38,0.42643546578603825,0.4524621153529671,0.41798107425299763
39,0.42643546578603825,0.4524621153529671,0.41798107425299763
40,0.42643546578603825,0.4524621153529671,0.41798107425299763
